DATE,HDFCBANK,ICICIBANK,SBI,KOTAKBANK,NIFTY,BANKNIFTY
2017-03-27,687.02,240.69,274.412,869.26,9045.2,21686.6
2017-03-28,692.064,244.082,277.014,857.586,9100.8,21647.6
2017-03-29,696.157,248.664,283.25,855.74,9143.8,21671.85
2017-03-30,714.48,247.915,285.803,863.273,9173.75,21556.35
2017-03-31,702.955,243.95,288.11,870.308,9173.75,21491.4
2017-04-03,698.399,252.63,287.865,874.05,9237.85,21551.449
2017-04-05,697.985,250.999,291.989,887.92,9265.15,21857.4
2017-04-06,700.982,247.475,287.57,892.41,9261.95,22054.699
2017-04-07,701.152,244.391,284.232,871.206,9198.3,22242.85
2017-04-10,698.862,244.655,284.133,875.447,9181.45,22326.301
2017-04-11,701.469,249.942,289.191,879.139,9237.0,22358.25
2017-04-12,703.516,247.431,284.919,877.492,9203.45,22341.35
2017-04-13,701.859,249.193,286.294,877.592,9150.8,22307.301
2017-04-17,700.153,248.841,284.674,885.674,9139.3,22720.1
2017-04-18,705.27,249.722,285.066,879.737,9105.15,22604.949
2017-04-19,706.098,247.21,278.929,873.701,9103.5,22767.35
2017-04-20,712.506,240.337,279.665,887.221,9136.4,22707.301
2017-04-21,729.294,237.165,277.112,878.49,9119.4,22830.35
2017-04-24,747.056,236.725,280.893,893.807,9217.95,22818.449
2017-04-25,749.005,240.117,280.893,896.052,9306.6,22671.699
2017-04-26,755.632,243.994,281.286,898.397,9351.85,22821.5
2017-04-27,764.379,241.571,276.965,914.662,9342.15,22928.6
2017-04-28,753.61,245.404,284.526,899.993,9304.05,22935.949
2017-05-02,750.735,242.849,283.102,915.909,9313.8,22698.6
2017-05-03,752.538,240.337,284.575,914.961,9311.95,22769.801
2017-05-04,747.909,262.411,293.659,903.486,9359.9,22652.85
2017-05-05,746.642,263.071,290.664,906.33,9285.3,22582.801
2017-05-08,747.909,266.948,294.002,905.382,9314.05,22536.301
2017-05-09,748.372,264.878,291.155,904.883,9316.85,23190.801
2017-05-10,756.193,263.16,289.142,925.638,9407.3,23362.199
2017-05-11,753.561,264.525,292.726,934.768,9422.4,23182.75
2017-05-12,756.12,261.309,292.529,952.579,9400.9,23307.25
2017-05-15,756.972,265.935,295.966,971.189,9445.4,23424.801
2017-05-16,760.018,266.684,301.956,957.768,9512.25,23310.15
2017-05-17,758.8,272.94,302.104,949.137,9525.75,23375.9
2017-05-18,758.775,271.354,297.488,940.805,9429.45,23459.65
2017-05-19,760.798,270.561,302.447,935.317,9427.9,23416.301
2017-05-22,767.985,267.742,288.994,939.208,9438.25,23567.65
2017-05-23,764.623,269.68,283.642,938.21,9386.15,23536.1
2017-05-24,763.478,270.253,278.045,934.069,9360.55,23690.9
2017-05-25,788.038,279.946,284.87,954.425,9509.75,23470.449
2017-05-26,792.35,283.338,285.811,962.957,9595.1,23477.85
2017-05-29,795.225,277.478,281.402,966.449,9604.9,23498.699
2017-05-30,793.837,283.206,286.208,959.863,9624.55,23391.75
2017-05-31,797.321,287.656,285.663,963.954,9621.25,23502.75
2017-06-01,793.617,282.061,284.82,960.562,9616.1,23742.15
2017-06-02,796.371,280.342,284.424,963.156,9653.5,23697.949
2017-06-05,797.004,281.752,284.622,964.902,9675.1,23708.75
2017-06-06,798.661,281.047,284.672,964.304,9637.15,23736.1
2017-06-07,799.562,286.114,287.892,966.549,9663.9,23542.75
2017-06-08,801.487,282.149,285.96,976.727,9647.25,23216.25
2017-06-09,812.232,283.867,285.91,982.963,9668.25,23235.85
2017-06-12,813.182,278.227,282.343,974.581,9616.4,23227.301
2017-06-13,817.056,277.434,281.253,972.087,9606.9,23211.199
2017-06-14,814.376,281.135,281.6,965.95,9618.15,23272.801
2017-06-15,811.038,279.109,281.402,960.512,9578.05,23214.199
2017-06-16,813.426,278.888,283.334,980.518,9588.05,23352.6
2017-06-19,824.951,282.501,286.208,985.408,9657.55,23466.65
2017-06-20,821.856,285.694,287.446,980.917,9653.5,23449.15
2017-06-21,827.777,284.375,288.239,989.798,9633.6,23675.051
2017-06-22,827.436,282.91,291.806,995.735,9630.0,23584.6
2017-06-23,818.007,285.108,286.307,983.063,9574.95,23695.449
2017-06-27,812.646,281.249,277.092,972.635,9511.4,23888.65
2017-06-28,812.062,283.642,273.871,970.091,9491.25,23937.699
